company,effective_date,location,number_of_workers
Waldorf Astoria Employer LLC,03/17/2020,"Atlanta, GA 30309",91
Wyndham Atlanta Galleria,09/30/2020,"Atlanta, GA 30339",50
Hilton Hotel Employer LLC (Atl-Courtland St.),03/22/2020,"Atlanta, GA 30303",400
Hudson Group (HG) Retail LLC,07/31/2020,"Atlanta, GA 30320",187
"Carestream Dental, LLC",04/02/2020,"Atlanta, GA 30339",90
"GEO Secure Services, LLC",09/30/2020,"Folkston, GA 31537",316
Miller Does it all,03/15/2020,"Warner Robins, GA 31093",1
2PM Property Investments,06/19/2020,"Cumming, GA 30041",4
"Sodexo, Inc. (Clark Atlanta University)",08/31/2020,"Atlanta, GA 30314",91
Paradies Lagardere (Atlanta Airport),04/05/2020,"Atlanta, GA 30320",58
Paradies Lagardere (Atlanta II-Airport ),04/05/2020,"Atlanta, GA 30320",46
XOtech,10/08/2020,"Albany, GA 31704",70
Embassy Suites Atlanta Buckhead,03/13/2020,"Atlanta, GA 30305",45
Sodexo Inc (Delta Airlines),07/31/2020,"Atlanta, GA 30354",98
Aramark (Agnes Scott College),08/14/2020,"Decatur, GA 30030",53
Aramark (Spelman College),08/14/2020,"Atlanta, GA 30314",101
Aramark (Morehouse College),08/14/2020,"Atlanta, GA 30314",147
Courier Distribution Systems,08/21/2020,"Smyrna, GA 30082",91
sunshine cleaning,03/27/2020,"EATONTON, GA 31024",5
Krispy Kreme Doughnut Corporation,10/16/2020,"Norcross, GA 30093",65
Law Office of Lynn Akeley Alderman,01/15/2020,"Dahlonega, GA 30533",1
HMS Host (Savannah Airport),10/16/2020,"Savannah, GA 31408",71
Southwest Georgia Regional Medical Center,10/22/2020,"Cuthbert, GA 39840",172
Stein Mart,03/31/2020,"Lithia Springs, GA 30122",121
ExpressJet Airlines,10/01/2020,"College Park, GA 30349",297
Sodexo Inc. (Cox Enterprises),08/28/2020,"Sandy Springs, GA 30328",141
The Hood Guy ga.,04/22/2020,"Augusta, GA 30909",10
"Freeman Management Firm, LLC",08/21/2020,"macon, GA 31206",5
Avis Budget Group,08/28/2020,"Atlanta, GA 30303",3
Avis Budget Group,08/28/2020,"College Park, GA 30337",18
Avis Budget Group,08/28/2020,"East Point, GA 30344",3
Avis Budget Group,08/28/2020,"Augusta, GA 30906",5
Avis Budget Group,08/28/2020,"Savannah, GA 31408",3
Cives Corporation,08/31/2020,"Thomasville, GA 31757",128
Actup you can get cleaned up cleaning services,09/01/2020,"Valdosta, GA 31601",5
CDI Head Start (Facility & Admn),10/30/2020,"Clarkston, GA 30021",75
Christopher J Martin Associates,08/31/2020,"Locust Grove, GA 30248",1
HMS Host (Atlanta Airport),10/16/2020,"Atlanta, GA 30320",570
"Aptim Federal Services, LLC",11/30/2020,"Kings Bay, GA 31547",210
Kings Bay Support Services,11/30/2020,"Kings Bay, GA 31547",29
Precious Treasures Daycare Center,03/18/2020,"Woodstock, GA 30188",1
"South Atlanta Orthopedics and Sports Medicine, pc",09/18/2020,"forest park, GA 30297",1
B Cellular Solutions LLC,02/02/2020,"Covington, GA 30014",1
CDI Head Start (Columbia - Avondale Estates),10/31/2020,"Avondale Estates, GA 30002",33
CDI  Head Start (Hambrick - Stone Mountain),10/31/2020,"Stone Mountain, GA 30083",19
CDI Head Start (Lawrenceville Hwy - Tucker),10/31/2020,"Tucker, GA 30084",16
CDI Head Start (Lithonia - Stonecrest),10/31/2020,"Stonecrest, GA 30058",42
CDI Head Start (Flat Shoals Ctr),10/31/2020,"Clarkston, GA 30021",1
CDI Head Start (Restoration Storehouse),10/31/2020,"Avondale Estates, GA 30002",6
CDI Head Start (West Circle Ctr),10/31/2020,"Stone Mountain, GA 30083",4
Bright Horizons Children's Centers LLC,04/15/2020,"College Park, GA 30349",115
"Freeman Audio Visual, LLC",09/23/2020,"Atlanta, GA 30318",2
"Freeman Expositions, LLC",09/23/2020,"Atlanta, GA 30318",49
"The Freeman Company, LLC",09/23/2020,"Atlanta, GA 30318",4
P.F. Chang's China Bistro (Cumberland Mall),09/18/2020,"Atlanta, GA 30339",75
P.F. Chang's China Bistro (Alpharetta),09/18/2020,"Alpharetta, GA 30022",75
P.F. Chang's Bistro China (Hartsfield),09/18/2020,"Atlanta, GA 30320",75
P.F. Changs China Bistro (Buford),09/18/2020,"Buford, GA 30519",75
P.F. Chang's China Bistro (Augusta),09/18/2020,"Augusta, GA 30909",75
Compass Group USA (Flik),09/30/2020,"Atlanta, GA 30313",95
Cherokees Custom Creations,09/03/2020,"midville, GA 30441",2
Genesis Medical Spa of Savannah LLC,06/30/2019,"savannah, GA 31405",1
Omni Hotels & Resorts (Omni Hotel CNN),09/17/2020,"Atlanta, GA 30303",439
"Alpha Fire Protection, LLC",01/01/2020,"Conyers, GA 30013",1
Hyatt Regency (Peachtree St-Atl),07/18/2020,"Atlanta, GA 30303",267
EverWalton Inc,10/05/2019,"AVONDALE ESTATES, GA 30329",2
XtremeAir of South Atlanta LLC,09/01/2020,"Newnan, GA 30265",60
"SSA Group, LLC (Zoo Atlanta)",09/28/2020,"Atlanta, GA 30315",58
Coastal Center for Developmental Services,09/30/2020,"Savannah, GA 31406",14
Bright Horizons Children's Centers LLC,09/25/2020,"Atlanta, GA 30339",72
Crowne Plaza Atl Perimeter at Ravinia/IHG,11/30/2020,"Atlanta, GA 30346",72
Exxon Mobile,05/10/2020,"macon, GA 31211",3
Lort Enterprises LLC,07/08/2020,"Loganville, GA 30052",1
"Carestream Dental Partnership, LLC",12/04/2020,"Atlanta, GA 30339",65
PBR VENTURES INC,10/31/2018,"ATLANTA, GA 30324",1
"Engineered Floors, LLC",03/18/2019,"Gainesville, GA 30504",103
Beasley Forest Products,01/18/2019,"Sandersville, GA 31082",21
Husqvarna,03/15/2019,"McRae, GA 31055",1093
Eclipse Advantage LLC,03/29/2019,"Forest Park, GA 30297",97
Cerner Corporation,03/31/2019,"Augusta, GA 30912",129
"Worldpay, LLC",03/31/2019,"Atlanta, GA 30363",234
Georgia Pacific LLC,04/02/2019,"Brunswick, GA 31525",120
Kellogg Company,04/26/2019,"Atlanta, GA 30336",20
"Animatics & Storyboards, Inc.",02/01/2019,"Fayetteville, GA 30215",2
SERENITY DOMINICAN HAIR STUDIO LLC,12/31/2018,"SNELLVILLE, GA 30039",1
ABM Aviation,04/12/2019,"Atlanta, GA 30320",1121
"Jacobson Warehouse Company, Inc.",03/31/2019,"Fairburn, GA 30213",48
Richmond Baking,03/22/2019,"Alma, GA 31510",150
The RAD Group,04/22/2019,"Atlanta, GA 30305",10
"Vanquish Worldwide, LLC",04/30/2019,"Fort Stewart, GA 31314",199
Concentrix CVG Corporation,04/30/2019,"Columbus, GA 31901",106
Facet Technologies,03/01/2019,"Atlanta, GA 30344",119
General Motors LLC,02/28/2019,"Roswell, GA 30076",231
Exide Technologies,03/01/2019,"Columbus, GA 31906",251
"Shaw Industries Group,Inc. Plant 84",05/12/2019,"Chatsworth, GA 30705",260
OMNIPLEX World Services,04/30/2019,"Fort Gordon, GA 30905",151
That's Tasty,05/26/2019,"Morrow, GA 30260",87
"Faltec America, Inc.",06/03/2019,"Adairsville, GA 30103",46
Yanfeng Global Automotive Interiors,06/24/2019,"West Point, GA 31833",71
BIG ATLANTA TRADING INC,02/28/2019,"DORA, GA 30340",2
Mohawk,06/30/2019,"Lyerly, GA 30730",249
LLOVERA SERVICE INC,04/30/2019,"SILVER CREEK, GA 30173",1
"Sodexo, Inc.",06/30/2019,"Atlanta, GA 30332",278
"Aramark Educational Services, LLC",06/30/2019,"Atlanta, GA 30317",416
DHL Supply Chain,07/15/2019,"Union City, GA 30349",85
PLZ Aeroscience Corporation,07/15/2019,"Dalton, GA 36072",83
The SYGMA Network,07/22/2019,"Newnan, GA 30265",129
"Gildan Yarns, LLC",07/28/2019,"Columbus, GA 31904",97
"BGA Enterprises, LLC",06/01/2019,"Jeffersonville, GA 31044",3
"Z Gallerie, LLC",06/30/2019,"Lithia Springs, GA 30122",52
Arcadia Group (USA) Limited,06/19/2019,"Atlanta, GA 30326",39
Georgia-Pacific Panel Products LLC,08/04/2019,"Thomson, GA 30824",95
Nathan Howard,06/07/2019,"Savannah, GA 31419",1
"Overgaard, Inc.",06/01/2019,"Martinez, GA 30907",2
Hollander Sleep Products,08/16/2019,"Thomson, GA 30824",175
Valmiera Glass USA Corp.,06/17/2019,"Dublin, GA 31021",350
"TIYA Support Services, LLC",08/31/2019,"Fort Benning, GA 31905",168
Philips Respironics Inc,07/31/2019,"Kennesaw, GA 30144",71
CoStar Group,09/09/2019,"Atlanta, GA 30305",119
CoStar Group,09/27/2019,"Atlanta, GA 30326",54
ABM Aviation,09/15/2019,"Atlanta, GA 30337",202
Kellogg Company,10/10/2019,"Atlanta, GA 30336",108
"Fred's, Inc.",09/28/2019,"Dublin, GA 31021",83
General Produce LLC,08/12/2019,"Conley, GA 30288",93
WestRock-Atanta East,10/01/2019,"Lithonia, GA 30058",34
Nestle U.S.A.,10/18/2019,"Lawrenceville, GA 30043",111
"Mohawk Industries, Inc.",10/26/2019,"Milledgeville, GA 31061",198
ITW Automotive Body & Fuel NA,10/01/2019,"LaGrange, GA 30241",87
Cox Media Group,10/29/2019,"Atlanta, GA 30328",87
"TIYA Support Services, LLC.",10/31/2019,"Fort Benning, GA 31905",160
"Fred's, Inc.",11/09/2019,"Dublin, GA 31021",101
255 peter;s street lounge,09/08/2019,"atlanta, GA 30313",50
Golden & Golden,08/25/2019,"Waynesboro, GA 30830",1
Inpax Final Mile Delivery,12/01/2019,"Smyrna, GA 30082",100
Inpax,12/01/2019,"Atlanta, GA 30316",62
"Brill, Inc.",12/09/2019,"Tucker, GA 30084",240
Gulfstream,10/15/2019,"Savannah, GA 31402",362
Waste Management National Transportation Services,12/20/2019,"Carnesville, GA 30521",69
YING AND TONG INC,10/31/2019,"ROME, GA 30165",2
kellett and sons roofing llc,10/28/2019,"Barnesville, GA 30204",1
Club Chef Southeast LLC,10/23/2019,"Conley, GA 30288",112
Philips Respironics Inc,12/31/2019,"Kennesaw, GA 30144",80
ICOT Holdings LLC,01/07/2020,"Savannah, GA 31401",74
Cabot Corporation,01/17/2019,"Alpharetta, GA 30022",67
Ryder System,01/13/2020,"Augusta, GA 30906",50
Colorado Premium,01/15/2020,"Carrollton, GA 30117",206
Resolute Forest Products,01/13/2020,"Augusta, GA 30906",150
Concentrix Corporation,01/17/2020,"Valdosta, GA 31605",85
Challenger Turf Inc,11/25/2019,"Dalton, GA 30721",58
Southern Crescent Behavioral Health System,01/25/2020,"Stockbridge, GA 30281",167
Steel Services Co,12/20/2019,"Macon, GA 31206",15
Walmart,01/05/2018,"Marietta, GA 30090",69
Zenith,01/08/2018,"Atlanta, GA 30331",46
Popeyes,01/12/2018,"Atlanta, GA 30346",30
Greenway Health,01/12/2018,"Atlanta, GA 30339",24
Greenway Health,01/12/2018,"Carrollton, GA 30117",96
Textron ,01/23/2018,"Augusta, GA 30906",60
Cahaba ,01/28/2018,"Douglasville, GA 30135",27
"Denim North America, LLC",01/28/2018,"Columbus, GA 31907",125
MWI  Animal Health ,01/30/2018,"Atlanta, GA 30336",47
Amports,01/31/2018,"Brunswick, GA 31525",24
Penny's Pampered Petsitting,01/31/2018,"Marietta, GA 30062",1
Conifer Health Solutions,02/03/2018,"Savannah, GA 31404",158
Comcast,02/26/2018,"Alpharetta, GA 30022",405
Coca-Cola,02/28/2018,"Alpharetta, GA 30022",1
Coca-Cola,02/28/2018,"Atlanta, GA 30313",47
Coca-Cola,02/28/2018,"Atlanta, GA 30313",5
Walmart,03/16/2018,"Lithonia, GA 30058",83
Sam's Club,03/16/2018,"Lithonia, GA 30058",196
ASM Research ,03/27/2018,"Dublin , GA 31021",28
Gap Partners,03/29/2018,"Rabun Gap, GA 30568",64
Mitsui O.S.K.Lines ,03/30/2018,"Atlanta, GA 30339",112
First Data Remitco,03/31/2018,"Columbus, GA 31907",83
Bank of America,04/03/2018,"Kennesaw, GA 30144",103
Darwood Manufacturing Co.,04/16/2018,"Pelhan, GA 31779",144
"Arrow Electronics, Inc.",04/27/2018,"Smyrna, GA 30082",38
Convergys,04/30/2018,"Valdosta, GA 31605",211
Coca-Cola,04/30/2018,"Atlanta, GA 30313",231
Georgia Pacific,04/30/2018,"Augusta, GA 30906",55
Transdev On Demand,05/01/2018,"Rome, GA 30165",98
DHL,05/03/2018,"Union City, GA 30291",498
IFCO,05/04/2018,"McDonough, GA 30253",130
Sodexo ,05/11/2018,"Savannah, GA 31419",89
Toys R Us,05/14/2018,"McDonough, GA 30252",244
Toyota of Union City,05/15/2018,"Union City, GA 30291",100
US HealthWorks,05/30/2018,"Alpharetta, GA 30005",70
Merchants Foodservice ,05/31/2018,"Tifton, GA 31793",72
Distribution South,06/01/2018,"Alma, GA 31510",66
"Tyson Foods, Inc.",06/02/2018,"Dawson, GA 39842",300
XPO Logistics,06/10/2018,"Fayetteville, GA 30215",53
Maurice Sporting Goods,06/22/2018,"McDonough, GA 30253",105
NCR ,12/31/2018,"Columbus, GA 31907",255
Anthem,06/30/2018,"Savannah, GA 31405",78
Conifer Health Solutions,06/30/2018,"LaGrange, GA 30240",55
Aramark,06/30/2018,"Canton, GA 30114",180
Sodexo ,06/30/2018,"Tifton, GA 31793",71
Whole Foods Market,07/02/2018,"Braselton, GA 30517",53
Parsec ,07/02/2018,"Atlanta, GA 30318",206
State Farm Insurance Companies,08/31/2018,"Dunwoody, GA 30346",95
EG Industries,07/09/2018,"Austell, GA 30168",125
"Rivulis Irrigation, Inc.",07/15/2018,"Valdosta, GA 31601",70
Mayfield Dairy (Dean Foods),09/16/2018,"Braselton, GA 30517",108
"Voith Paper Fabrics Waycross, LLC",09/17/2018,"Waycross, GA 31503",53
"Owens-Brockway Glass Container, Inc.",07/18/2018,"Atlanta, GA 30354",256
Siffron,09/30/2018,"Centerville, GA 31028",53
Morrison Healthcare (Food Service Div),07/31/2018,"Atlanta, GA 30303",162
Georgia Pacific,10/01/2018,"Monticello, GA 31064",100
Chestatee Regional Hospital,07/26/2018,"Dahlonega, GA 30533",141
"Alorica, Inc.",08/31/2018,"Kennesaw, GA 30144",635
Belks,07/31/2018,"Atlanta, GA 30326",99
NCR,10/31/2018,"Columbus, GA 31907",94
Anchor Glass,10/01/2018,"Warner Robins, GA 31088",145
Sykes,07/31/2018,"Rome, GA 30165",181
ActionMed Personnel,09/01/2018,"Thomasville, GA 31792",265
Clean Break Cleaning Co.,08/03/2018,"DOUGLASVILLE, GA 30135",4
Crowne Plaza Atlanta Perimeter at Ravinia,08/06/2018,"Atlanta, GA 30346",61
James Michael Burns OD,06/30/2018,"Marietta, GA 30066",2
"Hollander Sleep Products, LLC",08/17/2018,"Thompson , GA 30824",225
"Bob McCormick and Associates, Inc",08/02/2018,"ATLANTA, GA 30342",1
Bank of America,11/24/2018,"Atlanta, GA 30337",100
"Trane U.S., Inc.",12/31/2018,"Macon, GA 31216",132
Spillers Inc,06/05/2018,"Covington, GA 30014",1
"GIGYA, INC",09/30/2018,"MOUNTAIN VIEW, GA 94043",1
"Freeland Harris Consulting Engineers of Georgia, Inc.",07/31/2018,"Tucker, GA 30084",3
"Legal Sea Foods, LLC",12/18/2018,"Atlanta, GA 30313",78
IG Design Group - Americas,12/18/2018,"Midway, GA 31320",70
"Respironics, Inc.",04/30/2019,"Kennesaw, GA 30144",350
Tenneco,05/01/2019,"Hartwell, GA 30643",564
Childcare Network of GA LLC,01/01/2019,"Columbus, GA 31909",146
"HomeBridge Financial Services, Inc.",12/31/2018,"Kennesaw, GA 30144",125
Solo Cup Operating Corporation,12/31/2018,"Augusta, GA 30904",139
"Conifer Revenue Cycle Solutions, LLC",12/31/2018,"Atlanta, GA 30312",83
"Conifer Revenue Solutions, LLC",12/31/2018,"Roswell, GA 30076",54
"Conifer Revenue Cycle Solutions, LLC",12/31/2018,"Marietta, GA 30066",176
"Conifer Revenue Cycle Solutions, LLC",12/31/2018,"Marietta, GA 30060",123
"Conifer Revenue Cycle Solutions, LLC",12/31/2018,"Griffin, GA 30224",60
"Conifer Revenue Cycle Solutions, LLC",12/31/2018,"Austell, GA 30106",88
"XPO Logistics Worldwide, Inc.",02/28/2018,"Midland, GA 31820",75
"Aptim Federal Several Services, LLC",01/01/2019,"Fort Benning, GA 30190",152
Super Service,01/01/2019,"Ellenwood, GA 30049",158
"Wall Timber Products, Inc.",11/05/2018,"Sylvania, GA 30467",275
Georgia-Pacific Wood Products LLC,12/17/2018,"Warm Springs, GA 31830",321
Mattex USA Manufacturing LLC,01/19/2019,"CHATSWORTH, GA 30705",140
Sodexo-Atlanta Medical Center,11/18/2018,"Atlanta, GA 30312",81
Polycycle Solutions LLC,12/28/2018,"Newnan, GA 30265",17
ABM,01/01/2019,"30313, GA 30313",144
ABM,01/01/2019,"Atlanta, GA 30313",32
Trinity Rail,01/08/2017,"Cartersville, GA 30121",298
Sears Holding Corporation,01/12/2017,"Stone Mountain, GA 30083",48
Americold Logistics LLC,01/23/2017,"Forest Park, GA 30297",31
DAL Global Services,02/01/2017,"Atlanta, GA 30354",52
Remington Outdoor Company,02/10/2017,"Kennesaw, GA 30144",23
Whole Food Market,02/12/2017,"Roswell, GA 30076",149
"CAN Capital, Inc.",02/13/2017,"Kennesaw, GA 30144",136
Bin Tech,02/17/2017,"Duluth, GA 30098",108
Whole Food Market,02/22/2017,"Augusta, GA 30909",70
Kenco,02/27/2017,"Fairburn, GA 30213",71
Windstream Communications,03/01/2017,"Atlanta, GA 30309",55
Macy's,03/06/2017,"Athens, GA 30606",81
Walmart,03/17/2017,"Marietta, GA 30064",68
Burris Logistics,03/20/2017,"Atlanta, GA 30349",167
Boeing,03/24/2017,"Macon, GA 31216",18
Suniva,03/29/2017,"Norcross, GA 30092",131
Swift Spinning,03/29/2017,"Columbus, GA 31907",20
Siemens Healthineers,03/31/2017,"Duluth, GA 30097",70
Newell Brands,03/31/2017,"Atlanta, GA 30349",258
bebe,03/31/2017,"Atlanta, GA 30339",13
bebe,03/31/2017,"Atlanta, GA 30346",12
Exel,04/08/2017,"Social Cirlce, GA 30025",280
Macy's ,04/16/2017,"Stone Mountain, GA 30083",133
Standard Textile,05/01/2017,"Augusta, GA 30904",30
Perdue Foods,05/01/2017,"Gainesville, GA 30507",60
Monroe County Hospital,05/08/2017,"Forsyth, GA 31029",120
Walmart,05/12/2017,"Roswell, GA 30075",68
Sheraton Atlanta Airport Hotel,05/12/2017,"Atlanta, GA 30337",145
International Fragrance & Tech bda Agilex Frangrances ,05/19/2017,"Canton, GA 30115",32
NexLinx,05/21/2017,"Duluth , GA 30096",236
bebe,05/27/2017,"Buford, GA 30519",8
bebe,05/27/2017,"Kennesaw, GA 30144",11
bebe,05/27/2017,"Atlanta, GA 30326",19
hhgregg,05/31/2017,"Ellenwood, GA 30294",58
Zep Inc,06/01/2017,"Atlanta, GA 30318",88
Zep Inc,06/01/2017,"Atlanta, GA 30336",70
"Pro Source, Inc.",06/04/2017,"Atlanta, GA 30341",85
PFG Customized Distribution,06/06/2017,"Austell, GA 30168",170
Bechtel Infrastructure and Power Corporation,06/09/2017,"Smyrna, GA 30080",73
Popeyes,06/19/2017,"Atlanta, GA 30346",81
Walmart,06/23/2017,"Alpharetta, GA 30009",73
Dollar Express,06/30/2017,"Lake City, GA 30260",8
Dollar Express,06/30/2017,"Columbus, GA 31907",5
Dollar Express,06/30/2017,"Stone Mountain, GA 30083",7
Dollar Express,06/30/2017,"Decatur , GA 30032",8
Dollar Express,06/30/2017,"Decatur , GA 30034",11
Dollar Express,06/30/2017,"Decatur , GA 30034",11
Dollar Express,06/30/2017,"Norcross, GA 30071",8
Dollar Express,06/30/2017,"Atlanta, GA 30315",9
Dollar Express,06/30/2017,"Atlanta, GA 30310",7
Dollar Express,06/30/2017,"Atlanta, GA 30350",5
Dollar Express,06/30/2017,"Atlanta, GA 30310",12
Dollar Express,06/30/2017,"Atlanta, GA 30311",11
Dollar Express,06/30/2017,"Atlanta, GA 30329",9
Dollar Express,06/30/2017,"Atlanta, GA 30315",12
Millwood ,06/30/2017,"Atlanta, GA 30336",97
Aramark (Albany State University),06/30/2017,"Albany, GA 31705",97
Sodexo ,06/30/2017,"Atlanta, GA 30317",372
General Dynamics Mission Systems,07/11/2017,"Fort Gordon, GA 30905",122
Source Medical,07/12/2017,"Rome, GA 30161",18
YP LLC,07/14/2017,"Tucker, GA 30084",50
Coca-Cola ,07/15/2017,"Atlanta, GA 30308",59
Coca-Cola,07/15/2017,"Atlanta, GA 30313",28
Coca-Cola,07/15/2017,"Atlanta, GA 30313",334
Boeing,07/21/2017,"Macon, GA 31216",5
Kellogg's ,07/29/2017,"Union City, GA 30349",181
AngioDynamics,07/31/2017,"Manchester, GA 31816",79
JC Penney,07/31/2017,"Macon, GA 31206",75
"CAN Capital, Inc.",07/31/2017,"Kennesaw, GA 30144",55
B & B Bacrach,08/06/2017,"Buford, GA 30519",7
B & B Bacrach,08/06/2017,"Atlanta, GA 30326",5
Golden State Foods,08/20/2017,"Conyers, GA 30013",94
DSC Logistics,08/22/2017,"Atlanta, GA 30349",109
DS Services,08/25/2017,"Mableton , GA 30126",46
ExpressJet Airlines,08/28/2017,"Atlanta, GA 30354",50
Sodexo ,08/31/2017,"Lawrenceville, GA 30043",63
WestRock,08/31/2017,"Atlanta, GA 30318",71
Crawford & Company,09/01/2017,"Atlanta, GA 30328",13
Ricoh Logistics,09/29/2017,"Lawrenceville, GA 30043",50
Husqvarna Group,10/01/2017,"Swainsboro, GA 30401",113
Menzies Aviation,10/10/2017,"Atlanta, GA 30354",298
Lockheed Martin Missiles and Fire Control,10/10/2017,"Warner Robins, GA 31098",88
Bombardier Aircraft Services ,10/19/2017,"Macon, GA 31216",89
"American Transitional Hospitals,LLC dba Select Specialty Hospital",10/20/2017,"Atlanta, GA 30308",116
HAECO American Airframe Services,11/06/2017,"Macon, GA 31216",161
Kmart,11/12/2017,"Mableton, GA 30126",90
"ABM Aviation, Inc",11/15/2017,"Atlanta, GA 30320",1179
WestRock,11/27/2017,"Lithia Springs, GA 30122",57
Tiya,11/30/2017,"Fort Benning, GA 31905",264
Aptim,11/30/2017,"Fort Benning, GA 31905",175
Invista,12/12/2017,"Athens, GA 30601",52
Athena Healthcare,12/18/2017,"Atlanta, GA 30308",61
Mastec,12/29/2017,"Atlanta, GA 30339",53
GE Power,12/29/2017,"Atlanta, GA 30339",20
Corix ,12/30/2017,"Lawrenceville, GA 30046",53
Coca-Cola,12/31/2017,"Atlanta, GA 30308",46
Coca-Cola,12/31/2017,"Atlanta, GA 30313",5
Coca-Cola,12/31/2017,"Atlanta, GA 30313",128
