company,effective_date,location,number_of_workers
Embassy Suites by Hilton,"May 07, 2020","Troy, MI",65
Crescent Hotels & Resorts,"May 07, 2020","Southfield, MI",61
MGM Grand Detroit,"May 05, 2020","Detroit, MI","2,632"
"Great Lakes Specialty Finance, Inc.","May 05, 2020","Statewide, MI",62
"Aludyne, Inc. - Montague","May 05, 2020","Montague, MI",40
Graphic Packaging,"May 04, 2020","White Pigeon, MI",100
AK Steel,"May 04, 2020","Dearborn, MI",343
Busche Performance,"April 30, 2020","Fruitport and Southfield, MI",451
Aludyne,"April 30, 2020","Benton Harbor, Stevensville, MI",44
Hertz,"April 30, 2020","Detroit, MI",103
Flint Group Packaging Inks,"April 30, 2020","Three Rivers, MI",58
Country Fresh,"April 29, 2020","Livonia, MI",44
Arcelor Mittal,"April 28, 2020","Southfield, MI",6
City of Grand Haven,"April 28, 2020","Grand Haven, MI",74
Michigan Maple Block Company,"April 27, 2020","Petoskey, MI",56
Bloomin Brands,"April 27, 2020","2,28MI","2,289"
"Schafer Woodworks, Inc.","April 24, 2020","Tecumseh, MI",25
Punch Bowl Social,"April 24, 2020","Detroit, MI",97
Beaumont Health,"April 23, 2020","Dearborn, Farmington Hills, Grosse Pointe, Royal Oak, Southfield, Taylor, Trenton, Troy, and Wayne, MI","2,900"
"Visionworks, Inc.","April 23, 2020","Allen Park, Ann Arbor, Canton, Lake Orion, Novi, Rochester Hills, Roseville, Southfield, Sterling Heights and Taylor, MI",39
Enterprise Holdings,"April 22, 2020","Romulus, MI",114
Founders Brewing,"April 21, 2020","Grand Rapids and Detroit, MI",163
Williams International,"April 20, 2020","Pontiac and Commerce Township, MI",248
Tilden Mining,"April 20, 2020","Ishpeming, MI",687
Marsh Plating Corp.,"April 20, 2020","Ypsilanti, MI",97
Avis Budget Car Rental - Grand Rapids,"April 20, 2020","Grand Rapids, MI",28
Avis Budget Rental Car,"April 17, 2020","Detroit, MI",159
The Tile Company,"April 16, 2020","Ottawa Lake, MI",20
The Tile Company,"April 16, 2020","Ottawa Lake, MI",35
Wolverine Corporation,"April 15, 2020","St. Joseph, Stevensville, MI",70
Ameriwood Industries,"April 13, 2020","Dowagiac, MI",79
"Pokagon Gaming Authority, dba Four Winds Casinos","April 13, 2020","New Buffalo, MI","1,489"
"Samsung SDI America, Inc.","April 13, 2020","Auburn Hills, MI",38
"Gill Industries, Inc.","April 13, 2020","Walker, MI",64
"G2 Secure Staff, LLC","April 13, 2020","Detroit, MI",68
"Yazaki North America, Inc.","April 13, 2020","Canton (3 separate locations all located in Canton), MI",723
"ASC, Industries","April 10, 2020","Rochester Hills, MI",5
Circuit Controls Corporation,"April 10, 2020","Petoskey, MI",126
"Agrati, Inc.","April 10, 2020","Southfield, MI",15
Prospect Airport,"April 09, 2020","Romulus, MI",132
Beasley Media Group LLC,"April 09, 2020","Ferndale, MI",26
Hooters,"April 09, 2020","Flint, Roseville, Saginaw, Taylor, MI",87
Morbark,"April 09, 2020","Winn, MI",182
Precision Vehicle Solutions,"April 09, 2020","Flint, MI",180
Vitro Automotive,"April 08, 2020","Evart, MI",125
Pace Industries,"April 08, 2020","Muskegon, MI",456
Bear Down Logistics,"April 07, 2020","Walker, MI",24
"Lansing Ophthalmology, P.C. dba L.O. Eye Care","April 07, 2020","East Lansing, MI",73
"Eagle Industries, Inc.","April 07, 2020","Wixom, MI",225
Spire Hospitality Grand Rapids,"April 06, 2020","Grand Rapids, MI",95
Spire Hospitality,"April 06, 2020","Livonia, MI",65
Quality Air,"April 06, 2020","Grand Rapids, MI",212
Fluid Routing Solutions,"April 06, 2020","Big Rapids, MI",150
Americhem,"April 06, 2020","Grand Rapids, MI",17
Barber Packaging Company,"April 03, 2020","Bangor, MI",12
"H & R Wood Specialties, Inc.","April 03, 2020","Gobles, MI",8
"TriStar Molding, Inc.","April 03, 2020","Marcellus, MI",74
Cinemark,"April 03, 2020","Flint, Ypsilanti, and Taylor, MI",162
Maxwell's International,"April 03, 2020","Dearborn, Northville, Troy MI",189
Fram Group Operations,"April 02, 2020","Rochester Hills, MI",35
Great Wolf Lodge,"April 01, 2020","Traverse City, MI",317
Aludyne,"April 01, 2020"," Warren, MI",115
Trico Products,"April 01, 2020","Rochester Hills, MI",108
Martin Brower,"April 01, 2020","St. Johns, MI",109
On-Board Companies,"March 31, 2020"," Mt. Clemens, MI",56
Schulte Companies,"March 31, 2020"," Holland, Auburn Hills, Muskegon, Ann Arbor, Grand Rapids, Grandville, Stevensville, MI",213
"Ken Garff Automotive, LLC","March 31, 2020"," Novi, Southfield, Taylor, MI",360
YMCA of Greater Grand Rapids,"March 30, 2020","Grand Rapids, Lowell, Wyoming, Grandville, Belmont, and Middleville, MI","1,295"
"LaGrasso Bros. Produce, Inc.","March 30, 2020"," Detroit, MI",77
Benteler - Galesburg,"March 30, 2020"," Galesburg, MI",185
Paper Source - Birmingham,"March 30, 2020"," Birmingham, MI",8
Paper Source - Ann Arbor,"March 30, 2020","Ann Arbor, MI",8
Paper Source - Rochester Hills,"March 30, 2020"," Rochester Hills, MI",10
Art & Jakes Sports Bar Grill,"March 30, 2020"," Shelby Township, Sterling Heights, Washington Township, MI",300
Benteler - Holland,"March 30, 2020"," Holland, MI",160
"Trott Law, P.C.","March 30, 2020"," Farmington Hills, MI",39
"ZF Axle Drives Marysville, LLC","March 30, 2020"," Marysville, MI",800
Benteler - Grand Rapids,"March 30, 2020"," Grand Rapids, MI",673
Fly-Away Valet,"March 27, 2020"," Romulus, MI",27
Jacobsen/Daniels,"March 27, 2020"," Ypsilanti, MI",5
Convivial Brands,"March 26, 2020"," Grand Rapids, Wyoming, MI",48
Detroit Foundation Hotel,"March 26, 2020"," Detroit, MI",164
"Blue Bell Mattress Co., LLC","March 26, 2020"," Roseville, MI",80
Gazelle Sports,"March 26, 2020","Kalamazoo, Grand Rapids, East Grand Rapids, Holland, Northville, and Birmingham, MI",164
