company,effective_date,location,number_of_workers
"L Brands Store Design & Construction, Inc.",09/26/2020-01/31/2021,"Columbus, OH",49
"Mast Logistics Services, LLC",09/26/2020-01/31/2021,"Columbus, OH",9
"L Brands Service Company, LLC",09/26/2020-01/31/2021,"Columbus, OH",56
"MII Brand Import, LLC",09/26/2020-01/31/2021,"Columbus, OH",42
"Retail Brokerage Solutions, LLC",09/26/2020-01/31/2021,"Columbus, OH",5
Fusite,Unknown,"Cincinnati, OH",113
"Lakefront Lines, Inc.",03/16/2020,"Various Cities, OH",339
Hopedale Mining LLC (Rhino Energy LLC),09/20/2020,"Hopedale, OH",113
Hilton Management LLC - Cleveland Downtown,03/20/2020,"Cleveland, OH",178
Hilton Management LLC - Columbus Downtown,03/20/2020,"Columbus, OH",151
American Queen Steamboat Company,09/24/2020,"Cincinnati, OH",250
"ArcelorMittal Cleveland, Inc - ArcelorMittal USA LLC",08/01/2020,"Cleveland, OH",454
Air Wisconsin Airlines - Dayton International Airport,10/01/2020,"Vandalia, OH",47
Johnson Matthey Process Technologies Inc.,10/02/2020-02/01/2021,"Ravenna, OH",55
ExpressJet Airlines,10/01/2020,"Cleveland, OH",95
PSA Airlines,10/01/2020,"Vandalia, OH",259
"JSW Steel USA Ohio, Inc.",07/17/2020-08/15/2020,"Mingo Junction, OH",160
Center of Science and Industry (COSI),04/08/2020,"Columbus, OH",177
"Reisenfeld & Associates, LLC",03/20/2020-07/02/2020,"Cincinnati, OH",69
"United Airlines, Inc. - Cleveland Hopkins International Airport",10/01/2020,"Cleveland, OH",466
"Delaware North Companies, Inc.",03/23/2020,"Various Cities, OH",1805
Franklin Park Conservatory and Botanical Gardens,03/16/2020,"Columbus, OH",95
"Fiserv, Inc.",09/04/2020-09/18/2020,"Dublin, OH",79
Raymond Management Company (Hilton Garden Inn Hotel),06/30/2020,"Mason, OH",29
Raymond Management Company (AC by Marriott Hotel),06/30/2020,"Liberty Township, OH",20
The Salvation Army Family Store,05/11/2020,"Dayton, OH",8
Levy Premium Foodservice - The Greater Columbus Convention Center,08/01/2020,"Columbus, OH",59
Levy Premium Foodservice - Huntington Convention Center of Cleveland,08/01/2020,"Cleveland, OH",19
Oberlin College,07/15/2020-08/15/2020,"Oberlin, OH",108
"Magna Industries, Inc.",08/31/2020,"Cleveland, OH",102
Copart,06/29/2020,"Columbus, OH",72
"Allpro Parking, Ohio, LLC",06/07/2020,"Columbus, OH",23
"Allpro Parking, Ohio, LLC",06/07/2020,"Cleveland, OH",22
"Sumaria Systems, Inc.",08/31/2020,"Wright-Patterson AFB, OH",72
"J-Lenco, Inc.",07/05/2020,"La Rue, OH",7
AFP 116 Corp. - Embassy Suites Columbus Airport,05/15/2020,"Columbus, OH",57
"Allpro Parking Ohio, LLC",06/07/2020,"Cincinnati, OH",18
TIMET,04/12/2020-06/26/2020,"Toronto, OH",200
Levy Premium Foodservice-The Ohio State University,08/01/2020,"Columbus, OH",34
"ADESA Ohio, LLC - Automotive Finance Corporation (AFC)",08/01/2020,"Northfield, OH",28
Cleveland Indians Baseball Company LLC,07/15/2020,"Cleveland, OH",85
General Electric Aviation,04/17/2020-07/24/2020,"Cincinnati, OH",529
Hollywood Gaming Mahoning Valley Race Course,08/15/2020-10/08/2020,"Youngstown, OH",32
"Westin Cincinnati (Merritt Hospitality, LLC)",05/30/2020,"Cincinnati, OH",98
Marriott International Customer Engagement Center,03/24/2020,"Solon, OH",200
"Certech, Inc.",08/24/2020-09/04/2020,"Twinsburg, OH",15
Northeast Projections Inc.,06/16/2020,"Valley View, OH",13
Hollywood Casino Columbus,08/15/2020,"Columbus, OH",286
Hollywood Casino Toledo,08/15/2020,"Toledo, OH",116
"HFI, Inc.",08/03/2020,"Canal Winchester, OH",99
ArcelorMittal Columbus LLC/ArcelorMittal USA LLC,08/02/2020,"Columbus, OH",121
Credit First National Association,08/15/2020,"Akron, OH",52
Hyatt Regency Columbus,06/20/2020,"Columbus, OH",192
"Green Bay Dressed Beef, LLC",08/07/2020,"Sharonville, OH",95
The Ritz-Carlton Hotel Co. LLC,03/21/2020,"Cleveland, OH",200
"Homewood Suites Columbus (Crescent Hotels & Resorts, LLC)",03/20/2020,"Columbus, OH",4
"GSW Manufacturing, Inc.",07/31/2020-09/04/2020,"Findlay, OH",61
"Renaissance Hotel Mgmt Co., LLC",03/21/2020,"Columbus, OH",158
"Cleveland Indians Baseball Company, LLC",03/13/2020,"Cleveland, OH",1146
Cincinnati Museum Center,07/01/2020-08/01/2020,"Cincinnati, OH",175
Boyd Gaming - Belterra Park Gaming & Entertainment Center,07/01/2020-07/14/2020,"Cincinnati, OH",361
21C Museum Hotel,05/20/2020-07/01/2020,"Cincinnati, OH",158
"Schneller, Inc.",05/18/2020,"Kent, OH",50
"Poma Glass and Specialty Windows, Inc.",07/25/2020,"Boardman, OH",57
Verso Corporation,Unknown,"Miamisburg, OH",59
"PCC Airfoils, LLC",05/22/2020,"Crooksville, OH",122
The Michaels Companies,07/18/2020-10/30/2020,"Strongsville, OH",320
"LAZ Parking Midwest, LLC",03/12/2020-04/16/2020,"Cleveland, OH",62
