YMCA of the Northwoods,03/17/2020,"Rhinelander, WI",109,2020
Cinemark USA Inc.,03/26/2020,"Kenosha, WI",51,2020
California Pizza Kitchen,03/22/2020,"Glendale, WI",36,2020
FeraDyne Outdoors,03/25/2020,"Superior, WI",226,2020
Stevens Point YMCA,03/18/2020,"Stevens Point, WI",324,2020
AJLS Enterprises Inc.,04/03/2020,"Madison, WI",56,2020
PlayMonster LLC,04/06/2020,"Beloit, WI",31,2020
Bartaco,03/21/2020,"Madison, WI",67,2020
"Chandler Exhibits, Inc.",03/25/2020,"Hudson, WI",34,2020
Bernick's,04/01/2020,"Dresser, Superior, WI",25,2020
Caleres Inc,03/20/2020,"Port Washington, WI",213,2020
Caleres/Woodlore Manufacturing,03/20/2020,"Port Washington, WI",28,2020
Gray & Associates,04/03/2020,"New Berlin, WI",28,2020
La Crosse Area Family YMCA  ,03/18/2020,"La Crosse, Onalaska, WI",562,2020
eImprovement LLC,04/30/2020,"Pleasant Prairie, WI",60,2020
PC/Nametag Inc.,04/06/2020,"Verona, WI",46,2020
Spectra Food Services and Hospitality,03/26/2020,"Baraboo, WI",172,2020
Chapter 2 Inc.,04/03/2020,"Lake Mills, WI",26,2020
"Van's Supply & Equipment, Inc.",03/29/2020,"Green Bay, WI",37,2020
YMCA of Greater Waukesha County,03/17/2020,"Waukesha, Menomonee Falls, Greenfield, Wauwatosa, New Berlin, Mukwonago, WI",1100,2020
YMCA of Dodge County,03/16/2020,"Beaver Dam, WI",89,2020
Uncle Julio's,03/19/2020,"Brookfield, WI",93,2020
Woodson YMCA,03/17/2020,"Wausau, WI",300,2020
Geneva Lakes Family YMCA,03/17/2020,"Lake Geneva, WI",117,2020
"Hobby Lobby Stores, Inc.",03/25/2020,"Appleton, Brookfield, Eau Claire, Franklin, Green Bay, Janesville, Kenosha, Madison, Manitowoc, Menomonee Falls, Monona, Onalaska, Oshkosh, Racine, Rhinelander, Rice Lake, Waukesha, Wausau, Wauwatosa, West Allis, West Bend, WI",639,2020
Greater Green Bay YMCA,03/15/2020,"Green Bay, Brussels, Suring, WI",829,2020
Manitowoc-Two Rivers YMCA,04/06/2020,"Manitowoc, WI",219,2020
Advanced Pain Management,05/01/2020,"Greenfield, WI",50,2020
Pace Industries,03/20/2020,"Grafton, WI",381,2020
YMCA of the Chippewa Valley,03/19/2020,"Chippewa Falls, Eau Claire, New Auburn, WI",557,2020
Abercrombie & Fitch,04/12/2020,"Appleton, La Crosse, Wauwatosa, WI",123,2020
Prospect International Airport Services Corp.,04/22/2020,"Milwaukee, WI",48,2020
Tetra PAK Processing Equipment Inc.,07/03/2020,"Windsor, WI",39,2020
Meetings and Incentives Worldwide Inc,03/05/2020,"Caledonia, WI",15,2020
Server Products Inc,03/30/2020,"Richfield, WI",53,2020
American Greetings,03/23/2020,"Statewide, WI",153,2020
Glacial Community YMCA,03/16/2020,"Oconomowoc, Watertown, WI",542,2020
Patientpop,03/27/2020,"Menasha, WI",1,2020
"Hooters of America, LLC",03/16/2020,"Madison, Brookfield, WI",61,2020
Scholastic,03/18/2020,"Milwaukee, WI",53,2020
Safran Aerosystems Services Americas LLC,04/14/2020,"Menomonee Falls, WI",29,2020
Nordstrom Inc.,04/05/2020,"Madison, Wauwatosa, WI",218,2020
YMCA of Northern Rock County,03/27/2020,"Janesville, Milton, WI",142,2020
"Bars & Recreation, Inc.",03/30/2020,"Milwaukeee, WI",38,2020
LSC Communications,04/20/2020,"Baraboo, WI",393,2020
Ashley Furniture Industries Inc.,04/16/2020,"Whitehall, WI",70,2020
Milwaukee Center for Independence,04/30/2020,"Milwaukee, WI",128,2020
The Finish Line,04/12/2020,"Green Bay, Greendale, Janesville, Johnson Creek, Madison, Racine, Wauwatosa, WI",131,2020
The Finish Line Macy's,04/02/2020,"Wauwatosa, WI",3,2020
Baker Manufacturing Company LLC,04/20/2020,"Evansville, WI",49,2020
Goodwill,04/16/2020,"Ashland, Superior, WI",20,2020
YMCA of the Fox Cities,03/16/2020,"Appleton, Greenville, Kimberly, Neenah, WI",1546,2020
Emmi Roth,04/13/2020,"Seymour, WI",32,2020
Great Lakes Specialty Finance Inc.,05/01/2020,"Wautoma, Portage, Delevan, Milwaukee, Sheboygan, Madison, Appleton, Fond du Lac, Beloit, Janesville, West Bend, Green Bay, Eau Claire, Wausau, Marinette, Hudson, Racine, Marshfield, Superior, Shawano, WI",28,2020
Hutchinson Technology Inc.,05/28/2020,"Eau Claire, WI",110,2020
Marquis Yachts,06/26/2020,"Pulaski, WI",117,2020
Van Galder Bus / Coach USA,03/14/2020,"Janesville, WI",258,2020
Hi-Crush Services,03/30/2020,"Whitehall, WI",35,2020
Hi-Crush Services,03/30/2020,"Taylor, WI",32,2020
Bed Bath & Beyond Inc.,04/04/2020,"Brookfield, WI",55,2020
Visionworks,04/05/2020,"Kenosha, Milwaukee, Shorewood, West Allis, Wauwatosa, Greendale, Mequon, West Bend, Brookfield, Waukesha, Oconomowoc, Menomonee Falls, Eau Claire, La Crosse, WI",97,2020
Metals USA Carbon Flat Rolled Inc,04/23/2020,"Horicon, WI",10,2020
Global Finishing Solutions,04/28/2020,"Osseo, WI",94,2020
Smart Sand Inc.,05/01/2020,"Tomah, WI",55,2020
The Hertz Corporation,04/14/2020,"Milwaukee, WI",38,2020
Footlocker.com/Eastbay,04/26/2020,"Wausau, WI",1,2020
Foot Locker,04/26/2020,"Appleton, Brookfield, Glendale, Green Bay, Greendale, La Crosse, Madison, Milwaukee, Racine, Wauwatosa, WI",261,2020
Enterprise Holdings,03/23/2020,"Waukesha, Oak Creek, Milwaukee, WI",260,2020
Sheraton Milwaukee Brookfield Hotel,03/27/2020,"Brookfield, WI",101,2020
Bluegreen Vacations,03/27/2020,"Wisconsin Dells, WI",242,2020
Covia Corp.,05/04/2020,"Tomah, WI",32,2020
Holy Family College,05/06/2020,"Manitowoc, WI",110,2020
Eastbay Retail Store,04/26/2020,"Wausau, WI",21,2020
Badger Mining Corporation,05/14/2020,"Taylor, WI",38,2020
Atrium Hospitality,03/12/2020,"Middleton, WI",125,2020
Foremost Farms USA,07/17/2020,"Chilton, WI",50,2020
"Wigwam Mills, Inc.",06/01/2020,"Sheboygan, WI",121,2020
Documation LLC,06/09/2020,"Eau Claire, WI",28,2020
BRP US,05/27/2020,"Sturtevant, WI",387,2020
Alkar-Rapid Pak Inc.,05/18/2020,"Lodi, WI",25,2020
Renaissance Manufacturing Group,07/31/2020,"Waukesha, WI",120,2020
Union Cab of Madison Cooperative,03/22/2020,"Madison, WI",126,2020
Humane Manufacturing LLC,07/31/2020,"Baraboo, WI",21,2020
PMI Entertainment Group Inc.,07/01/2020,"Green Bay, WI",31,2020
Astec Industries Inc and Telsmith Inc,08/14/2020,"Mequon, WI",135,2020
Verso Corporation,07/31/2020,"Wisconsin Rapids, WI",902,2020
Nova Wildcat Shur-Line LLC,08/14/2020,"St. Francis, WI",93,2020
Derse Inc.,06/11/2020,"Milwaukee, WI",87,2020
Hyatt Corporation,03/22/2020,"Green Bay, WI",42,2020
Catalytic Combustion,06/07/2020,"Bloomer, WI",26,2020
Novares Americas Engine Components Inc,08/17/2020,"Richland Center, WI",74,2020
American Phoenix,06/19/2020,"Eau Claire, WI",46,2020
"Graceland Fruit Wisconsin, Inc.",06/18/2020,"Warrens, WI",65,2020
"Demco, Inc.",08/03/2020,"Madison, Deforest, WI",38,2020
Levy Premium Food Service at Fiserv Forum,08/01/2020,"Milwaukee, WI",47,2020
Levy Premium Food Service at Wisconsin Center District,08/01/2020,"Milwaukee, WI",25,2020
ALG Vacations,07/01/2020,"Milwaukee, WI",149,2020
Hilton Madison Monona Terrace,07/31/2020,"Madison, WI",40,2020
Hilton Milwaukee City Center,07/31/2020,"Milwaukee, WI",211,2020
The Pfister Hotel,07/31/2020,"Milwaukee, WI",89,2020
Saint Kate - The Arts Hotel,07/31/2020,"Milwaukee, WI",42,2020
SafeHouse Milwaukee,07/31/2020,"Milwaukee, WI",1,2020
Wisconsin Hospitality Linen Service,07/31/2020,"Milwaukee, WI",1,2020
Marcus Hotels,07/31/2020,"Milwaukee, WI",13,2020
Grand Geneva Resort & Spa,07/31/2020,"Lake Geneva, WI",23,2020
